ENF Site ID,Sub Region,Region,Latitude,TL,ES POC
ES2-SUK-03784,Sukkur,Sukkur,27.729642   68.847349,Abdul Rasool,Shahid Ahmed
ES2-NSF-03806,Kandiaro,Sukkur,27.02957   68.3494,Abdul Rasool,Shahid Ahmed
ES2-KRP-03807,Sukkur,Sukkur,27.62749   68.66295,Abdul Rasool,Shahid Ahmed
EUS-RYK-04013,Sadiq Abad,Sukkur,28.4023   69.8205,Abdul Rasool,Shahid Ahmed
ES2-SUK-04071,Sukkur,Sukkur,27.61433   69.09599,Abdul Rasool,Shahid Ahmed
ES2-KRP-04084,Sukkur,Sukkur,27.51897   68.57364,Abdul Rasool,Shahid Ahmed
ES2-KRP-04085,Ranipur,Sukkur,27.44376   68.39071,Abdul Rasool,Shahid Ahmed
ES2-SUK-04086,Ghotki,Sukkur,27.856013   69.19999,Abdul Rasool,Shahid Ahmed
ES2-SDQ-04104,Sadiq Abad,Sukkur,28.32076   69.81893,Abdul Rasool,Shahid Ahmed
ES2-SUK-04106,Sukkur,Sukkur,27.698746   68.833974,Abdul Rasool,Shahid Ahmed
ES2-TPW-04107,Ranipur,Sukkur,27.196522   68.589818,Abdul Rasool,Shahid Ahmed
ES2-SUK-04313,Sukkur Biker,Sukkur,27.6929   68.8709,Abdul Rasool,Shahid Ahmed
EUS-GKI-04327,Ghotki,Sukkur,27.97996   69.05923,Abdul Rasool,Shahid Ahmed
EUS-GKI-04329,Sukkur,Sukkur,27.63197   68.54724,Abdul Rasool,Shahid Ahmed
EUS-GKI-04330,Sukkur,Sukkur,27.56451   68.4441,Abdul Rasool,Shahid Ahmed
EUS-GKI-04331,Ranipur,Sukkur,27.45634   68.3581,Abdul Rasool,Shahid Ahmed
EUS-GKI-04332,Ranipur,Sukkur,27.28117   68.24066,Abdul Rasool,Shahid Ahmed
EUS-GKI-04333,Ranipur,Sukkur,26.98233   68.582076,Abdul Rasool,Shahid Ahmed
EUS-GKI-04334,Nausheroferoz,Sukkur,26.89948   68.51358,Abdul Rasool,Shahid Ahmed
EUS-GKI-04335,Nausheroferoz,Sukkur,26.790212   68.439229,Abdul Rasool,Shahid Ahmed
EUS-GKI-04337,Ranipur,Sukkur,27.34373   68.30727,Abdul Rasool,Shahid Ahmed
EUS-GKI-04338,Nausheroferoz,Sukkur,26.86639   68.44854,Abdul Rasool,Shahid Ahmed
ES2-SUK-04640,Sukkur Biker,Sukkur,27.72381   68.817173,Abdul Rasool,Shahid Ahmed
EUS-QSK-04658,Sukkur,Sukkur,27.6412   68.47942,Abdul Rasool,Shahid Ahmed
EUS-QSK-04661,Ranipur,Sukkur,27.30395   68.19773,Abdul Rasool,Shahid Ahmed
EUS-QSK-04679,Kandiaro,Sukkur,27.028202   68.275193,Abdul Rasool,Shahid Ahmed
ES2-MRP-04988,Ranipur,Sukkur,27.15756   68.46312,Abdul Rasool,Shahid Ahmed
ES2-MRP-04998,Ranipur,Sukkur,26.97982   68.51181,Abdul Rasool,Shahid Ahmed
ES2-KDY-05006,Kandiaro,Sukkur,27.12764   68.27458,Abdul Rasool,Shahid Ahmed
ES2-GKI-05022,Ghotki,Sukkur,27.92255   69.18733,Abdul Rasool,Shahid Ahmed
ES2-KRP-05063,Sukkur,Sukkur,27.51681   68.74774,Abdul Rasool,Shahid Ahmed
ES2-GMT-05066,Ranipur,Sukkur,27.42376   68.49596,Abdul Rasool,Shahid Ahmed
ES2-MPM-05115,Ghotki,Sukkur,28.01677   69.55923,Abdul Rasool,Shahid Ahmed
ES2-KRP-05418,Sukkur,Sukkur,27.56691   68.76705,Abdul Rasool,Shahid Ahmed
ES2-GKI-05428,Ghotki,Sukkur,27.99338   69.34906,Abdul Rasool,Shahid Ahmed
ES2-SUK-05431,Sukkur Biker,Sukkur,27.70225   68.82984,Abdul Rasool,Shahid Ahmed
ES2-KRP-05492,Ranipur,Sukkur,27.24312   68.34967,Abdul Rasool,Shahid Ahmed
ES2-SUK-05493,Sukkur,Sukkur,27.63713   68.79148,Abdul Rasool,Shahid Ahmed
ES2-KRP-06076,Sukkur,Sukkur,27.5038   68.7364,Abdul Rasool,Shahid Ahmed
ES2-KRP-06077,Sukkur,Sukkur,27.52709   68.76814,Abdul Rasool,Shahid Ahmed
ES2-NSF-06079,Kandiaro,Sukkur,27.0411   68.1868,Abdul Rasool,Shahid Ahmed
ES2-GKI-06099,Ghotki,Sukkur,27.98426   69.29265,Abdul Rasool,Shahid Ahmed
ES2-SPR-06153,Sukkur Biker,Sukkur,27.72055   68.82016,Abdul Rasool,Shahid Ahmed
ES2-RYK-06222,Sadiq Abad,Sukkur,28.33218   70.13615,Abdul Rasool,Shahid Ahmed
ES2-UBA-06364,Ghotki,Sukkur,28.15483   69.72878,Abdul Rasool,Shahid Ahmed
ES2-UBA-06365,Ghotki,Sukkur,28.16708   69.73136,Abdul Rasool,Shahid Ahmed
ES2-SUK-06394,Sukkur Biker,Sukkur,27.69527   68.85158,Abdul Rasool,Shahid Ahmed
ES2-GKI-06431,Ghotki,Sukkur,28.015982   69.315075,Abdul Rasool,Shahid Ahmed
ES2-PQL-06483,Ghotki,Sukkur,27.85566   69.11732,Abdul Rasool,Shahid Ahmed
ES2-SDQ-06496,Sadiq Abad,Sukkur,28.310922   70.113614,Abdul Rasool,Shahid Ahmed
ES2-KDJ-06697,Ranipur,Sukkur,27.36576   68.63541,Abdul Rasool,Shahid Ahmed
ES2-GKI-06700,Ghotki,Sukkur,27.92512   69.33718,Abdul Rasool,Shahid Ahmed
ES2-KRP-07523,Sukkur,Sukkur,27.570313   68.74699,Abdul Rasool,Shahid Ahmed
ES2-KDJ-07524,Ranipur,Sukkur,27.24817   68.53437,Abdul Rasool,Shahid Ahmed
ES2-MHP-07527,Kandiaro,Sukkur,27.0971   68.41507,Abdul Rasool,Shahid Ahmed
ES2-UBA-07551,Ghotki,Sukkur,28.07572   69.68603,Abdul Rasool,Shahid Ahmed
ES2-DRK-07920,Ghotki,Sukkur,28.05493   69.69559 ,Abdul Rasool,Shahid Ahmed
ES2-DRK-07921,Ghotki,Sukkur,28.050189   69.697605,Abdul Rasool,Shahid Ahmed
ES2-DRK-07922,Ghotki,Sukkur,28.04817   69.71316,Abdul Rasool,Shahid Ahmed
ES2-SUK-08492,Ghotki,Sukkur,27.85974   69.0693,Abdul Rasool,Shahid Ahmed
ES2-NSF-08592,Kandiaro,Sukkur,26.98665   68.34131,Abdul Rasool,Shahid Ahmed
ES2-NSF-08612,Nausheroferoz,Sukkur,26.74337   68.16421,Abdul Rasool,Shahid Ahmed
