ENF Site ID,Operator,Region,Latitude
ES2-JCA-05614,Ufone,Jacob Abad,28.21405   68.36832
ES2-JCA-05615,Ufone,Jacob Abad,28.28157   68.44548
ES2-JAF-05616,Ufone,Jacob Abad,28.23304   68.11041
ES2-NSD-05617,Ufone,Jacob Abad,28.46787   68.27908
ES2-NSD-05618,Ufone,Jacob Abad,28.41027   67.90472
ES2-NSD-05619,Ufone,Jacob Abad,28.53301   68.22353
ES2-JAF-05626,Ufone,Jacob Abad,28.3827   68.35891
ES2-JAF-05627,Ufone,Jacob Abad,28.36866   68.33842
ES2-NSD-05632,Ufone,Jacob Abad,28.43971   68.08918
ES2-NSD-05633,Ufone,Jacob Abad,28.44744   68.19006
ES2-DBG-05666,Ufone,Jacob Abad,28.639342   69.214911
ES2-GUD-05899,Ufone,Jacob Abad,28.42692   69.67761
ES2-SUI-06938,Ufone,Jacob Abad,28.66469   69.18464
ES2-SUI-06943,Ufone,Jacob Abad,28.61979   69.19212
ES2-SUI-06944,Ufone,Jacob Abad,28.64757   69.18901
ES2-STM-07892,Ufone,Jacob Abad,28.17187   68.048631
ES2-JCA-07912,Ufone,Jacob Abad,28.26964   68.41568
ES2-JCA-07913,Ufone,Jacob Abad,28.28887   68.424471
ES2-KKO-08745,Ufone,Jacob Abad,28.247052   69.1871
ES2-RUS-01364,Ufone,Jacob Abad,27.96521   68.80406
ES2-SPR-05416,Ufone,Jacob Abad,27.99228   68.59844
ES2-SPR-05568,Ufone,Jacob Abad,27.93485   68.58782
ES2-SPR-05620,Ufone,Jacob Abad,27.9776   68.68551
ES2-SPR-07910,Ufone,Jacob Abad,27.96166   68.63422
ES2-SPR-08288,Ufone,Jacob Abad,27.94392   68.63792
ES2-SDK-01850,Ufone,Larkana,27.8517   67.90123
ES2-SDK-02702,Ufone,Larkana,27.84855   67.9175
ES2-SDK-03033,Ufone,Larkana,27.84193   67.90594
ES2-SDK-03034,Ufone,Larkana,27.84006   67.89832
ES2-SDK-03632,Ufone,Larkana,27.8856   67.6293
ES2-SDK-04355,Ufone,Larkana,27.85084   67.91042
ES2-LKN-04740,Ufone,Larkana,27.615887   68.008633
ES2-LKN-04741,Ufone,Larkana,27.661905   68.019063
ES2-JCA-05521,Ufone,Larkana,27.98807   67.96275
ES2-LKN-05538,Ufone,Larkana,27.6718   68.06243
ES2-LKN-05539,Ufone,Larkana,27.56039   67.93427
ES2-LKN-05540,Ufone,Larkana,27.72461   68.06435
ES2-LKN-05541,Ufone,Larkana,27.60755   68.09195
ES2-LKN-05542,Ufone,Larkana,27.55051   67.88631
ES2-LKN-05706,Ufone,Larkana,27.54249   68.26134
ES2-LKN-05707,Ufone,Larkana,27.57896   68.21017
ES2-LKN-05710,Ufone,Larkana,27.55891   68.05866
ES2-LKN-05712,Ufone,Larkana,27.51792   68.20316
ES2-LKN-05713,Ufone,Larkana,27.693108   68.338937
ES2-LKN-05785,Ufone,Larkana,27.676592   68.365763
ES2-SDK-06737,Ufone,Larkana,27.85595   67.91628
ES2-SDK-07210,Ufone,Larkana,27.84729   67.89565
ES2-SDK-09205,Ufone,Larkana,27.856377   67.922656
ES2-LKN-02734,Zong,Larkana,27.55549   68.21934
ES2-SUK-01523,Zong,Sukkur,27.7165   68.8375
ES2-KRP-05492,Zong,Sukkur,27.24312   68.34967
ES2-GKI-06099,Zong,Sukkur,27.98426   69.29265
ES2-KSH-03811,Zong,Jacob Abad,28.2556   69.2023
ES2-JCA-05520,Zong,Jacob Abad,28.06036   68.17123
ES2-JCA-05566,Zong,Jacob Abad,28.06268   68.26718
ES2-JCA-05614,Zong,Jacob Abad,28.21405   68.36832
ES2-SPR-05416,Zong,Jacob Abad,27.99228   68.59844
ES2-SPR-05620,Zong,Jacob Abad,27.9776   68.68551
ES2-SDK-03632,Zong,Larkana,27.8856   67.6293
ES2-JCA-05521,Zong,Larkana,27.98807   67.96275
ES2-LKN-05706,Zong,Larkana,27.54249   68.26134
ES2-SDK-07210,Zong,Larkana,27.84729   67.89565
ES2-KRP-00948,Zong,Sukkur,27.5923   68.615
ES2-HLN-01672,Zong,Sukkur,27.09863   68.34196
ES2-KRP-01749,Zong,Sukkur,27.09266   68.58677
ES2-KDY-02266,Zong,Sukkur,27.05934   68.21931
ES2-PQL-03317,Zong,Sukkur,27.88096   69.08919
ES2-SUK-03784,Zong,Sukkur,27.729642   68.847349
ES2-KRP-03807,Zong,Sukkur,27.62749   68.66295
ES2-KRP-04085,Zong,Sukkur,27.44376   68.39071
ES2-GKI-05022,Zong,Sukkur,27.92255   69.18733
ES2-MPM-05115,Zong,Sukkur,28.01677   69.55923
ES2-KRP-05418,Zong,Sukkur,27.56691   68.76705
ES2-GKI-05428,Zong,Sukkur,27.99338   69.34906
ES2-SUK-05431,Zong,Sukkur,27.70225   68.82984
ES2-KRP-06076,Zong,Sukkur,27.5038   68.7364
ES2-NSF-06079,Zong,Sukkur,27.0411   68.1868
ES2-SPR-06153,Zong,Sukkur,27.72055   68.82016
ES2-GKI-06431,Zong,Sukkur,28.015982   69.315075
ES2-MHP-07527,Zong,Sukkur,27.0971   68.41507
ES2-RYK-08925,Zong,Sukkur,28.213254   69.894064
ES2-KRP-09184,Zong,Sukkur,27.11389   68.60576
ES2-JCA-02091,Zong,Jacob Abad,28.14665   68.36243
ES2-GKH-02444,Zong,Jacob Abad,28.00486   68.27438
ES2-THL-03124,Zong,Jacob Abad,28.23635   68.78099
ES2-LKN-01092,Zong,Larkana,27.54132   68.20121
ES2-LKN-01723,Zong,Larkana,27.54242   68.20504
EUS-QSK-04654,Zong,Larkana,27.881404   68.184741
ES2-LKN-07446,Zong,Larkana,27.56981   68.21909
ES2-SUK-03168,Zong,Sukkur,27.7127   68.86604
ES2-NSF-03806,Zong,Sukkur,27.02957   68.3494
ES2-SUK-04071,Zong,Sukkur,27.61433   69.09599
ES2-KRP-04084,Zong,Sukkur,27.51897   68.57364
ES2-SUK-04086,Zong,Sukkur,27.856013   69.19999
ES2-SUK-05493,Zong,Sukkur,27.63713   68.79148
ES2-KRP-06077,Zong,Sukkur,27.52709   68.76814
ES2-RYK-06222,Zong,Sukkur,28.33218   70.13615
ES2-KRP-07523,Zong,Sukkur,27.570313   68.74699
ES2-KDJ-07524,Zong,Sukkur,27.24817   68.53437
ES2-UBA-07551,Zong,Sukkur,28.07572   69.68603
ES2-SUK-08492,Zong,Sukkur,27.85974   69.0693
