Site Id,Sub Region,Region,Beginning,Days Passed,Aging,Alarm,ES POC,SMS POC,History | Issue,Summarize,Domain,
ES2-NSF-08671,Nausheroferoz,Sukkur,21-Aug-25,75,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-QSK-04658,Sukkur,Sukkur,27-Aug-25,69,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-GMT-09746,Ranipur,Sukkur,31-Aug-25,66,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-SBP-01691,Dera Allahyar,Jacob Abad,1-Sep-25,65,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-LKN-05539,Qambar,Larkana,2-Sep-25,63,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-LKN-05707,Larkana - 1,Larkana,3-Sep-25,62,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-LKN-03833,Qambar,Larkana,5-Sep-25,60,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-MPM-05115,Ghotki,Sukkur,6-Sep-25,59,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-KRP-06076,Sukkur,Sukkur,9-Sep-25,56,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-SDK-07210,ShahdadKot,Larkana,12-Sep-25,53,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-LKN-07446,Larkana - 1,Larkana,13-Sep-25,52,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-BDA-03439,Larkana - 2,Larkana,14-Sep-25,52,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-KKO-07543,Kandhkot,Jacob Abad,17-Sep-25,49,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
EUS-GKI-04333,Ranipur,Sukkur,26-Sep-25,39,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-QSK-04684,Qambar,Larkana,29-Sep-25,36,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-JCA-08489,Jacobabad,Jacob Abad,30-Sep-25,35,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-KRP-05418,Sukkur,Sukkur,1-Oct-25,35,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-LKN-09593,Larkana - 1,Larkana,1-Oct-25,34,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-SUK-01534,Sukkur,Sukkur,2-Oct-25,33,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-SDK-06737,ShahdadKot,Larkana,4-Oct-25,32,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-WRH-02280,Qambar,Larkana,4-Oct-25,31,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-SDJ-03689,Sukkur,Sukkur,5-Oct-25,30,11 - 30 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-QSK-04673,ShahdadKot,Larkana,6-Oct-25,30,11 - 30 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-JCA-05519,Kandhkot,Jacob Abad,7-Oct-25,28,11 - 30 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-SDQ-01991,Sadiq Abad,Sukkur,9-Oct-25,26,11 - 30 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-NSD-05618,Dera Allahyar,Jacob Abad,11-Oct-25,24,11 - 30 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-DRK-07922,Ghotki,Sukkur,12-Oct-25,23,11 - 30 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-JCA-05520,Jacobabad,Jacob Abad,13-Oct-25,22,11 - 30 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-GUD-05899,Kandhkot,Jacob Abad,13-Oct-25,22,11 - 30 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
EUS-QSK-04671,ShahdadKot,Larkana,13-Oct-25,22,11 - 30 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
EUS-QSK-04672,ShahdadKot,Larkana,16-Oct-25,20,11 - 30 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-KDY-02266,Kandiaro,Sukkur,16-Oct-25,19,11 - 30 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-GKI-04329,Sukkur,Sukkur,17-Oct-25,18,11 - 30 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-SUK-03784,Sukkur,Sukkur,18-Oct-25,17,11 - 30 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-QSK-04664,Larkana - 2,Larkana,19-Oct-25,16,11 - 30 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-SPR-01960,Shikarpur,Jacob Abad,19-Oct-25,16,11 - 30 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
EUS-RYK-04013,Sadiq Abad,Sukkur,21-Oct-25,14,11 - 30 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-JCA-05615,Jacobabad,Jacob Abad,22-Oct-25,13,11 - 30 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-JCA-03121,Jacobabad,Jacob Abad,22-Oct-25,13,11 - 30 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-QBR-02747,Qambar,Larkana,23-Oct-25,13,11 - 30 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-GKI-06099,Ghotki,Sukkur,23-Oct-25,12,11 - 30 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-SPR-04074,Shikarpur,Jacob Abad,24-Oct-25,12,11 - 30 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-NSF-08612,Kandiaro,Sukkur,31-Oct-25,4,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-KRP-08764,Nausheroferoz,Sukkur,31-Oct-25,4,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-KRP-05492,Ranipur,Sukkur,31-Oct-25,4,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-KKO-06413,Kandhkot,Jacob Abad,31-Oct-25,4,01 - 10 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-JMG-04568,Dera Allahyar,Jacob Abad,1-Nov-25,4,01 - 10 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-NSF-06079,Kandiaro,Sukkur,1-Nov-25,3,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-GKI-04327,Ghotki,Sukkur,1-Nov-25,3,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-GKI-06700,Ghotki,Sukkur,1-Nov-25,3,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-QSK-04665,Larkana - 2,Larkana,2-Nov-25,3,01 - 10 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-NSF-03806,Kandiaro,Sukkur,2-Nov-25,3,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-GMT-03686,Ranipur,Sukkur,2-Nov-25,2,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-SUK-09749,Ranipur,Sukkur,3-Nov-25,2,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-LKN-09735,Larkana - 1,Larkana,3-Nov-25,2,01 - 10 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
EUS-QSK-04661,Ranipur,Sukkur,3-Nov-25,2,01 - 10 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
